status,sex,class,fare,age,embarked,sibsp,parch,boat
Died,Male,3,0,49,Southampton,0,0,?
Died,Male,1,0,40,Southampton,0,0,?
Died,Male,1,0,39,Southampton,0,0,?
Died,Male,1,0,38,Southampton,0,0,?
Died,Male,3,0,36,Southampton,0,0,?
Died,Male,3,0,19,Southampton,0,0,?
Died,Male,3,4,20,Cherbourg,0,0,?
Died,Male,1,5,33,Southampton,0,0,?
Died,Male,3,6,34,Cherbourg,0,0,?
Died,Male,3,6,19,Queenstown,0,0,?
Died,Female,3,6,18,Queenstown,0,0,?
Died,Male,3,6,61,Southampton,0,0,?
Died,Male,3,6,45,Southampton,0,0,?
Died,Male,3,6,43,Southampton,0,0,?
Died,Male,3,6,34,Southampton,0,0,?
Died,Male,3,6,21,Southampton,1,0,?
Died,Male,3,6,18,Southampton,1,0,?
Died,Male,3,7,45,Cherbourg,0,0,?
Died,Male,3,7,40,Cherbourg,0,0,?
Died,Male,3,7,39,Cherbourg,0,2,?
Died,Male,3,7,35,Cherbourg,0,0,?
Died,Male,3,7,33,Cherbourg,0,0,?
Died,Male,3,7,30,Cherbourg,0,0,?
Died,Male,3,7,30,Cherbourg,0,0,?
Died,Male,3,7,28,Cherbourg,0,0,?
Died,Male,3,7,27,Cherbourg,0,0,?
Died,Male,3,7,26,Cherbourg,0,0,?
Died,Male,3,7,25,Cherbourg,0,0,?
Died,Male,3,7,23,Cherbourg,0,0,?
Died,Male,3,7,22,Cherbourg,0,0,?
Died,Male,3,7,22,Cherbourg,0,0,?
Died,Male,3,7,21,Cherbourg,0,0,?
Died,Male,3,7,20,Cherbourg,0,0,?
Died,Male,3,7,18,Cherbourg,0,0,?
Died,Male,3,7,17,Cherbourg,1,1,?
Died,Male,3,7,15,Cherbourg,1,1,?
Died,Male,3,7,70,Queenstown,0,0,?
Died,Male,3,7,65,Queenstown,0,0,?
Died,Male,3,7,40,Queenstown,0,0,?
Died,Female,3,7,37,Queenstown,0,0,?
Died,Female,3,7,35,Queenstown,0,0,?
Died,Male,3,7,34,Queenstown,0,0,?
Died,Male,3,7,32,Queenstown,0,0,?
Died,Male,3,7,31,Queenstown,0,0,?
Died,Male,3,7,31,Queenstown,0,0,?
Died,Female,3,7,30,Queenstown,0,0,?
Died,Female,3,7,30,Queenstown,0,0,?
Died,Female,3,7,27,Queenstown,0,0,?
Died,Male,3,7,26,Queenstown,0,0,?
Died,Male,3,7,25,Queenstown,0,0,?
Died,Male,3,7,24,Queenstown,0,0,?
Died,Female,3,7,24,Queenstown,0,0,?
Died,Female,3,7,21,Queenstown,0,0,?
Died,Male,3,7,21,Queenstown,0,0,?
Died,Male,3,7,21,Queenstown,0,0,?
Died,Female,3,7,18,Queenstown,0,0,?
Died,Female,3,7,18,Queenstown,0,0,?
Died,Female,3,7,17,Queenstown,0,0,?
Died,Male,3,7,74,Southampton,0,0,?
Died,Male,3,7,59,Southampton,0,0,?
Died,Male,3,7,51,Southampton,0,0,?
Died,Male,3,7,51,Southampton,0,0,?
Died,Male,3,7,48,Southampton,0,0,?
Died,Male,3,7,47,Southampton,0,0,?
Died,Female,3,7,45,Southampton,0,0,?
Died,Male,3,7,43,Southampton,0,0,?
Died,Male,3,7,42,Southampton,0,0,?
Died,Male,3,7,42,Southampton,0,0,?
Died,Male,3,7,41,Southampton,0,0,?
Died,Male,3,7,41,Southampton,0,0,?
Died,Male,3,7,40,Southampton,0,0,?
Died,Male,3,7,39,Southampton,0,0,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Female,3,7,38,Southampton,4,2,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Male,3,7,37,Southampton,2,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,31,Southampton,0,0,?
Died,Female,3,7,31,Southampton,0,0,?
Died,Male,3,7,30,Southampton,0,0,?
Died,Male,3,7,30,Southampton,0,0,?
Died,Male,3,7,29,Southampton,1,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Female,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Male,3,7,28,Southampton,0,0,?
Died,Male,3,7,28,Southampton,0,0,?
Died,Male,3,7,28,Southampton,2,0,?
Died,Male,3,7,28,Southampton,0,0,?
Died,Female,3,7,28,Southampton,0,0,?
Died,Male,3,7,28,Southampton,0,0,?
Died,Male,3,7,28,Southampton,0,0,?
Died,Female,3,7,28,Southampton,0,0,?
Died,Male,3,7,27,Southampton,0,0,?
Died,Male,3,7,27,Southampton,0,0,?
Died,Female,3,7,27,Southampton,1,0,?
Died,Male,3,7,27,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,0,0,?
Died,Male,3,7,26,Southampton,1,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,0,0,B
Died,Female,3,7,25,Southampton,1,0,?
Died,Female,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,25,Southampton,1,0,?
Died,Male,3,7,25,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,24,Southampton,0,0,?
Died,Male,3,7,23,Southampton,0,0,?
Died,Male,3,7,23,Southampton,0,0,?
Died,Female,3,7,23,Southampton,0,0,?
Died,Male,3,7,23,Southampton,0,0,?
Died,Male,3,7,22,Southampton,1,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,22,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,21,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Female,3,7,20,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Male,3,7,20,Southampton,0,0,?
Died,Male,3,7,19,Southampton,0,0,?
Died,Male,3,7,19,Southampton,0,0,?
Died,Male,3,7,19,Southampton,0,0,?
Died,Male,3,7,19,Southampton,0,0,?
Died,Male,3,7,19,Southampton,0,0,?
Died,Male,3,7,18,Southampton,0,0,?
Died,Male,3,7,18,Southampton,0,0,?
Died,Male,3,7,18,Southampton,0,0,?
Died,Male,3,7,18,Southampton,1,1,?
Died,Male,3,7,18,Southampton,0,0,?
Died,Female,3,7,18,Southampton,0,0,?
Died,Male,3,7,17,Southampton,0,0,?
Died,Male,3,7,17,Southampton,1,0,?
Died,Male,3,7,17,Southampton,0,0,?
Died,Male,3,7,16,Southampton,0,0,?
Died,Female,3,7,14,Southampton,0,0,?
Died,Male,3,8,33,Cherbourg,0,0,?
Died,Male,3,8,55,Southampton,0,0,?
Died,Male,3,8,51,Southampton,0,0,?
Died,Male,3,8,50,Southampton,0,0,?
Died,Male,3,8,44,Southampton,0,0,?
Died,Male,3,8,44,Southampton,0,0,?
Died,Male,3,8,43,Southampton,0,0,?
Died,Male,3,8,42,Southampton,0,0,?
Died,Male,3,8,42,Southampton,0,1,?
Died,Male,3,8,38,Southampton,0,0,?
Died,Male,3,8,35,Southampton,0,0,?
Died,Male,3,8,35,Southampton,0,0,?
Died,Male,3,8,34,Southampton,0,0,?
Died,Male,3,8,34,Southampton,0,0,?
Died,Male,3,8,33,Southampton,0,0,?
Died,Male,3,8,33,Southampton,0,0,?
Died,Male,3,8,32,Southampton,0,0,?
Died,Male,3,8,32,Southampton,0,0,?
Died,Male,3,8,30,Southampton,0,0,?
Died,Female,3,8,30,Southampton,0,0,?
Died,Male,3,8,30,Southampton,0,0,?
Died,Male,3,8,30,Southampton,0,0,?
Died,Male,3,8,29,Southampton,0,0,?
Died,Male,3,8,28,Southampton,0,0,?
Died,Male,3,8,27,Southampton,0,0,?
Died,Male,3,8,27,Southampton,0,0,?
Died,Male,3,8,26,Southampton,0,0,?
Died,Male,3,8,26,Southampton,2,0,?
Died,Male,3,8,24,Southampton,0,0,?
Died,Male,3,8,24,Southampton,0,0,?
Died,Female,3,8,24,Southampton,0,0,?
Died,Male,3,8,24,Southampton,0,0,?
Died,Male,3,8,24,Southampton,0,0,?
Died,Female,3,8,23,Southampton,0,0,?
Died,Male,3,8,22,Southampton,0,0,?
Died,Male,3,8,22,Southampton,0,0,?
Died,Male,3,8,22,Southampton,0,0,?
Died,Female,3,8,22,Southampton,2,0,?
Died,Female,3,8,21,Southampton,0,0,?
Died,Male,3,8,21,Southampton,0,0,?
Died,Male,3,8,21,Southampton,0,0,?
Died,Male,3,8,21,Southampton,0,0,?
Died,Male,3,8,21,Southampton,0,0,?
Died,Male,3,8,21,Southampton,0,0,?
Died,Female,3,8,20,Southampton,0,0,?
Died,Male,3,8,20,Southampton,0,0,?
Died,Male,3,8,20,Southampton,0,0,?
Died,Male,3,8,19,Southampton,0,0,?
Died,Male,3,8,19,Southampton,0,0,?
Died,Male,3,8,18,Southampton,0,0,?
Died,Male,3,8,18,Southampton,0,0,?
Died,Male,3,8,17,Southampton,0,0,?
Died,Male,3,8,17,Southampton,0,0,?
Died,Male,3,8,17,Southampton,0,0,?
Died,Male,3,8,17,Southampton,2,0,?
Died,Male,3,8,17,Southampton,0,0,?
Died,Male,3,8,16,Southampton,0,0,?
Died,Male,2,9,62,Queenstown,0,0,?
Died,Male,3,9,47,Southampton,0,0,?
Died,Female,3,9,40,Southampton,1,0,?
Died,Female,3,9,37,Southampton,0,0,?
Died,Male,3,9,36,Southampton,0,0,?
Died,Male,3,9,33,Southampton,0,0,?
Died,Male,3,9,32,Southampton,0,0,?
Died,Male,3,9,29,Southampton,0,0,?
Died,Male,3,9,28,Southampton,0,0,?
Died,Male,3,9,28,Southampton,0,0,?
Died,Male,3,9,24,Southampton,0,0,?
Died,Male,3,9,24,Southampton,0,0,?
Died,Male,3,9,23,Southampton,0,0,?
Died,Male,3,9,22,Southampton,0,0,?
Died,Female,3,9,22,Southampton,0,0,?
Died,Male,3,9,22,Southampton,0,0,?
Died,Female,3,9,21,Southampton,1,0,?
Died,Male,3,9,20,Southampton,0,0,?
Died,Male,3,9,20,Southampton,0,0,?
Died,Female,3,9,20,Southampton,1,0,?
Died,Male,3,9,20,Southampton,0,0,?
Died,Male,3,9,16,Southampton,0,0,?
Died,Male,3,9,16,Southampton,0,0,?
Died,Male,2,10,70,Southampton,0,0,?
Died,Male,2,10,66,Southampton,0,0,?
Died,Female,2,10,57,Southampton,0,0,?
Died,Male,2,10,47,Southampton,0,0,?
Died,Male,2,10,36,Southampton,0,0,?
Died,Male,2,10,35,Southampton,0,0,?
Died,Male,2,10,32,Southampton,0,0,?
Died,Male,2,10,31,Southampton,0,0,?
Died,Male,2,10,30,Southampton,0,0,?
Died,Male,2,10,29,Southampton,0,0,?
Died,Female,3,10,29,Southampton,1,1,?
Died,Male,2,10,28,Southampton,0,0,?
Died,Male,2,10,28,Southampton,0,0,?
Died,Male,2,10,26,Southampton,0,0,?
Died,Male,2,10,25,Southampton,0,0,?
Died,Male,2,10,25,Southampton,0,0,?
Died,Male,2,10,24,Southampton,0,0,?
Died,Male,2,10,23,Southampton,0,0,?
Died,Male,2,10,23,Southampton,0,0,?
Died,Male,2,10,23,Southampton,1,0,?
Died,Female,3,10,22,Southampton,0,0,?
Died,Male,2,10,19,Southampton,0,0,?
Died,Male,2,10,19,Southampton,0,0,?
Died,Male,3,10,19,Southampton,0,0,?
Died,Male,2,10,18,Southampton,0,0,?
Died,Male,2,10,16,Southampton,0,0,?
Died,Female,3,10,2,Southampton,0,1,?
Died,Male,2,11,23,Southampton,2,1,?
Died,Male,2,11,21,Southampton,0,0,?
Died,Male,2,11,21,Southampton,1,0,?
Died,Male,2,11,21,Southampton,1,0,?
Died,Male,2,11,18,Southampton,0,0,?
Died,Male,2,11,18,Southampton,0,0,?
Died,Male,2,12,36,Cherbourg,0,0,?
Died,Male,2,12,61,Queenstown,0,0,?
Died,Male,2,12,57,Queenstown,0,0,?
Died,Male,2,12,35,Queenstown,0,0,?
Died,Male,2,12,51,Southampton,0,0,?
Died,Female,3,12,36,Southampton,0,2,?
Died,Male,2,12,33,Southampton,0,0,?
Died,Female,3,12,1,Southampton,1,1,?
Died,Male,2,13,59,Southampton,0,0,?
Died,Male,2,13,57,Southampton,0,0,?
Died,Male,2,13,52,Southampton,0,0,?
Died,Male,2,13,52,Southampton,0,0,?
Died,Male,2,13,50,Southampton,0,0,?
Died,Male,2,13,48,Southampton,0,0,?
Died,Male,2,13,44,Southampton,0,0,?
Died,Male,2,13,42,Southampton,0,0,?
Died,Male,2,13,42,Southampton,0,0,?
Died,Male,2,13,41,Southampton,0,0,?
Died,Male,2,13,40,Southampton,0,0,?
Died,Male,2,13,39,Southampton,0,0,?
Died,Male,2,13,39,Southampton,0,0,?
Died,Female,2,13,38,Southampton,0,0,?
Died,Male,2,13,36,Southampton,0,0,?
Died,Male,2,13,36,Southampton,0,0,?
Died,Male,2,13,34,Southampton,0,0,?
Died,Male,2,13,34,Southampton,0,0,?
Died,Male,2,13,32,Southampton,0,0,?
Died,Male,2,13,32,Southampton,0,0,?
Died,Male,2,13,30,Southampton,0,0,?
Died,Female,2,13,30,Southampton,0,0,?
Died,Male,2,13,30,Southampton,0,0,?
Died,Male,2,13,30,Southampton,0,0,?
Died,Male,2,13,30,Southampton,0,0,?
Died,Male,2,13,30,Southampton,0,0,?
Died,Male,2,13,28,Southampton,0,0,?
Died,Male,2,13,28,Southampton,0,0,?
Died,Male,2,13,27,Southampton,0,0,?
Died,Male,2,13,27,Southampton,0,0,?
Died,Male,2,13,26,Southampton,0,0,?
Died,Male,2,13,26,Southampton,0,0,?
Died,Male,2,13,26,Southampton,0,0,?
Died,Female,3,13,26,Southampton,0,2,?
Died,Male,2,13,25,Southampton,0,0,?
Died,Male,2,13,25,Southampton,0,0,?
Died,Male,2,13,25,Southampton,0,0,?
Died,Male,2,13,24,Southampton,0,0,?
Died,Male,2,13,24,Southampton,0,0,?
Died,Female,2,13,24,Southampton,0,0,?
Died,Male,2,13,23,Southampton,0,0,?
Died,Male,2,13,23,Southampton,0,0,?
Died,Male,2,13,23,Southampton,0,0,?
Died,Male,3,13,23,Southampton,1,0,?
Died,Male,2,13,21,Southampton,0,0,?
Died,Male,2,13,19,Southampton,0,0,?
Died,Male,2,13,18,Southampton,0,0,?
Died,Male,2,13,18,Southampton,0,0,?
Died,Female,2,13,18,Southampton,1,1,?
Died,Female,3,13,3,Southampton,1,1,?
Died,Male,3,13,0,Southampton,1,1,?
Died,Female,3,14,45,Cherbourg,0,1,?
Died,Male,3,14,27,Cherbourg,1,0,C
Died,Male,3,14,26,Cherbourg,1,0,?
Died,Female,3,14,18,Cherbourg,0,1,?
Died,Male,3,14,18,Cherbourg,1,0,?
Died,Female,3,14,17,Cherbourg,0,0,?
Died,Female,3,14,14,Cherbourg,1,0,?
Died,Male,2,14,54,Southampton,0,0,?
Died,Male,3,14,50,Southampton,1,0,?
Died,Female,3,14,47,Southampton,1,0,?
Died,Male,3,14,41,Southampton,2,0,?
Died,Male,3,14,40,Southampton,0,2,?
Died,Male,3,14,34,Southampton,1,1,?
Died,Female,3,14,28,Southampton,1,1,?
Died,Male,3,14,19,Southampton,0,0,?
Died,Male,3,14,11,Southampton,1,1,?
Died,Male,3,14,0,Southampton,0,2,?
Died,Male,2,15,41,Cherbourg,0,0,?
Died,Male,2,15,27,Cherbourg,0,0,?
Died,Male,2,15,23,Cherbourg,0,0,?
Died,Female,3,15,9,Cherbourg,1,1,?
Died,Male,3,15,6,Cherbourg,1,1,?
Died,Male,3,15,40,Queenstown,1,1,?
Died,Female,3,15,32,Queenstown,1,1,?
Died,Male,2,15,47,Southampton,0,0,?
Died,Male,3,15,40,Southampton,0,0,?
Died,Male,3,15,36,Southampton,1,0,A
Died,Male,3,15,32,Southampton,1,0,D
Died,Female,3,15,30,Southampton,1,0,A
Died,Male,3,15,28,Southampton,1,0,?
Died,Male,3,16,44,Southampton,0,1,?
Died,Male,2,16,40,Southampton,0,0,?
Died,Male,3,16,30,Southampton,1,0,?
Died,Male,3,16,28,Southampton,0,0,?
Died,Female,3,16,26,Southampton,1,0,?
Died,Male,3,16,24,Southampton,1,0,?
Died,Male,3,16,21,Southampton,0,0,?
Died,Female,3,16,19,Southampton,1,0,?
Died,Male,3,17,25,Southampton,1,0,?
Died,Female,3,17,18,Southampton,1,0,?
Died,Male,3,18,11,Cherbourg,0,0,?
Died,Male,3,18,31,Southampton,3,0,?
Died,Female,3,18,31,Southampton,1,0,?
Died,Female,3,18,18,Southampton,2,0,?
Died,Male,3,18,16,Southampton,2,0,?
Died,Female,3,20,41,Southampton,0,2,?
Died,Male,3,20,33,Southampton,1,1,?
Died,Male,3,20,26,Southampton,1,2,?
Died,Male,3,20,18,Southampton,1,1,?
Died,Male,3,20,16,Southampton,1,1,?
Died,Male,3,20,13,Southampton,0,2,?
Died,Female,3,20,2,Southampton,1,1,?
Died,Male,2,21,43,Southampton,0,1,?
Died,Male,2,21,38,Southampton,1,0,?
Died,Male,2,21,34,Southampton,1,0,?
Died,Male,2,21,34,Southampton,1,0,12
Died,Male,2,21,30,Southampton,1,0,?
Died,Male,2,21,29,Southampton,1,0,?
Died,Female,3,21,29,Southampton,0,4,?
Died,Female,2,21,27,Southampton,1,0,?
Died,Female,2,21,22,Southampton,0,0,?
Died,Female,3,21,8,Southampton,3,1,?
Died,Male,3,21,6,Southampton,3,1,?
Died,Female,3,21,3,Southampton,3,1,?
Died,Male,3,21,2,Southampton,3,1,?
Died,Male,3,22,32,Southampton,0,0,?
Died,Male,3,22,28,Southampton,0,0,?
Died,Male,3,22,28,Southampton,0,0,?
Died,Male,2,24,30,Cherbourg,1,0,?
Died,Male,3,24,39,Southampton,0,0,?
Died,Male,3,24,36,Southampton,1,1,?
Died,Female,3,24,30,Southampton,1,1,?
Died,Male,3,24,24,Southampton,2,0,?
Died,Male,3,24,21,Southampton,2,0,?
Died,Female,3,24,10,Southampton,0,2,?
Died,Male,1,25,47,Southampton,0,0,?
Died,Male,1,26,25,Cherbourg,0,0,?
Died,Male,1,26,65,Southampton,0,0,?
Died,Male,1,26,64,Southampton,0,0,?
Died,Male,2,26,63,Southampton,1,0,?
Died,Male,1,26,62,Southampton,0,0,?
Died,Male,1,26,62,Southampton,0,0,?
Died,Male,1,26,60,Southampton,0,0,?
Died,Female,2,26,60,Southampton,1,0,?
Died,Male,1,26,56,Southampton,0,0,?
Died,Male,2,26,54,Southampton,1,0,?
Died,Male,2,26,54,Southampton,0,0,?
Died,Male,1,26,50,Southampton,0,0,?
Died,Male,2,26,50,Southampton,1,0,?
Died,Male,1,26,49,Southampton,0,0,?
Died,Male,1,26,46,Southampton,0,0,?
Died,Male,2,26,46,Southampton,0,0,?
Died,Male,1,26,45,Southampton,0,0,?
Died,Female,2,26,44,Southampton,1,0,?
Died,Male,2,26,44,Southampton,1,0,?
Died,Male,2,26,43,Southampton,1,1,?
Died,Male,1,26,42,Southampton,0,0,?
Died,Male,1,26,42,Southampton,0,0,?
Died,Male,2,26,40,Southampton,1,0,?
Died,Male,2,26,39,Southampton,0,0,?
Died,Male,2,26,37,Southampton,1,0,?
Died,Male,2,26,36,Southampton,0,2,?
Died,Male,2,26,35,Southampton,0,0,?
Died,Male,2,26,34,Southampton,1,0,?
Died,Male,2,26,34,Southampton,1,0,?
Died,Male,1,26,33,Southampton,0,0,?
Died,Male,2,26,31,Southampton,1,1,?
Died,Male,1,26,30,Southampton,0,0,?
Died,Male,2,26,30,Southampton,1,1,?
Died,Female,2,26,29,Southampton,1,0,?
Died,Male,2,26,29,Southampton,1,0,?
Died,Male,2,26,28,Southampton,0,0,?
Died,Male,2,26,27,Southampton,0,0,?
Died,Male,2,26,27,Southampton,1,0,?
Died,Female,2,26,26,Southampton,1,1,?
Died,Male,2,26,25,Southampton,1,0,?
Died,Male,2,26,16,Southampton,0,0,?
Died,Male,1,27,40,Cherbourg,0,0,?
Died,Male,1,27,30,Cherbourg,0,0,?
Died,Male,2,27,29,Cherbourg,1,0,?
Died,Male,1,27,28,Cherbourg,0,0,?
Died,Female,3,27,45,Southampton,1,4,?
Died,Male,2,27,42,Southampton,1,0,?
Died,Male,3,27,40,Southampton,1,4,?
Died,Male,2,27,36,Southampton,1,2,?
Died,Male,3,27,10,Southampton,3,2,?
Died,Female,3,27,9,Southampton,3,2,?
Died,Male,3,27,4,Southampton,3,2,?
Died,Female,3,27,2,Southampton,3,2,?
Died,Female,1,28,50,Cherbourg,0,0,?
Died,Male,1,28,45,Southampton,0,0,?
Died,Male,1,29,58,Cherbourg,0,0,?
Died,Male,1,29,39,Cherbourg,0,0,?
Died,Male,1,29,37,Cherbourg,0,1,?
Died,Female,3,29,39,Queenstown,0,5,?
Died,Male,3,29,10,Queenstown,4,1,?
Died,Male,3,29,8,Queenstown,4,1,?
Died,Male,3,29,7,Queenstown,4,1,?
Died,Male,3,29,4,Queenstown,4,1,?
Died,Male,3,29,2,Queenstown,4,1,?
Died,Male,1,30,56,Cherbourg,0,0,?
Died,Male,2,30,32,Cherbourg,1,0,?
Died,Male,1,30,55,Southampton,0,0,?
Died,Male,1,30,41,Southampton,0,0,?
Died,Male,1,30,29,Southampton,0,0,?
Died,Female,1,31,36,Cherbourg,0,0,?
Died,Male,3,31,40,Southampton,1,5,?
Died,Male,3,31,39,Southampton,1,5,?
Died,Female,3,31,39,Southampton,1,5,?
Died,Male,2,31,25,Southampton,0,0,?
Died,Male,2,31,24,Southampton,2,0,?
Died,Male,2,31,22,Southampton,2,0,?
Died,Male,3,31,13,Southampton,4,2,?
Died,Female,3,31,11,Southampton,4,2,?
Died,Female,3,31,9,Southampton,4,2,?
Died,Male,3,31,9,Southampton,4,2,?
Died,Female,3,31,6,Southampton,4,2,?
Died,Male,3,31,5,Southampton,4,2,?
Died,Male,3,31,4,Southampton,4,2,?
Died,Female,3,31,2,Southampton,4,2,?
Died,Male,1,32,61,Southampton,0,0,?
Died,Male,2,32,42,Southampton,1,1,?
Died,Male,1,33,61,Southampton,0,0,?
Died,Male,2,33,28,Southampton,0,1,?
Died,Male,1,34,71,Cherbourg,0,0,?
Died,Female,3,34,48,Southampton,1,3,?
Died,Male,1,34,47,Southampton,0,0,?
Died,Female,3,34,21,Southampton,2,2,?
Died,Male,3,34,18,Southampton,2,2,?
Died,Male,3,34,16,Southampton,1,3,?
Died,Female,3,34,9,Southampton,2,2,?
Died,Male,1,35,45,Southampton,0,0,?
Died,Male,2,36,19,Southampton,1,1,?
Died,Male,2,37,31,Cherbourg,1,1,?
Died,Male,1,38,47,Southampton,0,0,?
Died,Male,2,39,60,Southampton,1,1,?
Died,Female,3,39,41,Southampton,0,5,?
Died,Female,3,39,22,Southampton,0,0,?
Died,Male,3,39,16,Southampton,4,1,?
Died,Male,3,39,14,Southampton,4,1,?
Died,Male,3,39,7,Southampton,4,1,?
Died,Male,3,39,2,Southampton,4,1,?
Died,Male,3,39,1,Southampton,4,1,?
Died,Male,1,40,36,Cherbourg,0,0,?
Died,Male,2,41,25,Cherbourg,1,2,?
Died,Male,1,42,47,Southampton,0,0,?
Died,Male,1,42,42,Southampton,0,0,?
Died,Male,1,45,30,Southampton,0,0,?
Died,Female,3,46,43,Southampton,1,6,?
Died,Male,3,46,40,Southampton,1,6,?
Died,Female,3,46,16,Southampton,5,2,?
Died,Male,3,46,14,Southampton,5,2,?
Died,Male,3,46,11,Southampton,5,2,?
Died,Female,3,46,10,Southampton,5,2,?
Died,Male,3,46,9,Southampton,5,2,?
Died,Male,3,46,1,Southampton,5,2,?
Died,Male,1,47,28,Southampton,0,0,?
Died,Male,1,47,17,Southampton,0,0,?
Died,Male,1,49,71,Cherbourg,0,0,?
Died,Male,1,50,48,Cherbourg,0,0,?
Died,Male,1,50,55,Southampton,0,0,?
Died,Male,1,50,31,Southampton,0,0,?
