STATUS,CLASS,SEX,EMBARKED
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Female,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,1st-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,2nd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Male,Cherbourg
Died,3rd-class,Female,Cherbourg
Died,3rd-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Female,Cherbourg
Survived,1st-class,Male,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Male,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Male,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,2nd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Male,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Survived,3rd-class,Female,Cherbourg
Died,1st-class,Male,Queenstown
Died,2nd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Male,Queenstown
Died,3rd-class,Female,Queenstown
Died,3rd-class,Male,Queenstown
Survived,1st-class,Female,Queenstown
Survived,2nd-class,Female,Queenstown
Survived,2nd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Male,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Male,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Female,Queenstown
Survived,3rd-class,Male,Queenstown
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Female,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Female,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,1st-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Female,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,2nd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Female,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
Died,3rd-class,Male,Southampton
